Sr No,District,Name,Address,Contact #
25,Bahawalpur,Gardezi Lab,"Tasneem Plaza, Noor Mahal Road, Bahawalpur",0321-6801361
26,Bahawalpur,Gardezi Laboratory (State Lab),"Opp Gulsha Park, Yazman, Bahawalpur",0301-3234866
27,Bahawalpur,Hamdard Lab,"Bahawalpur Road, Yazman, Bahawalpur",03337676796
28,Bahawalpur,Jinnah Path Lab & Diagnostic center,"Darul Kabab Building, Mohala Chah Fateh Khan, front of BVH, band road",03247733669
29,Bahawalpur,Khawaja Lab,"8/A Medical Colony, Bahawalpur",0300-9681243
30,Bahawalpur,"Life Lab, Opposite BV Hospital, Bahawalpur","Opposite BV Hospital, Bahawalpur",0333-6349020
31,Bahawalpur,Medicare Diagnostic Laboratory,"Model Town C, Bahawalpur",0300-9687416
32,Bahawalpur,Qasim Clinical Lab,"Library Chowk, Circular Road, Bahawalpur",0300-9682229
33,Bahawalpur,Rahim Clinical Lab,"Near Bank Al Falah,Circular Road, Bahawalpur",0312-9684443
34,Bahawalpur,Reza Clinical Laboratory,"Basement Bahawalpur Heart Centre, Opposite FG College Noor Mahal Road, Bahawalpur",03334603388
35,Bahawalpur,Sadaf Diagnostic Lab,"31-B, Lane No.06, Medical Colony, Bahawalpur",03336376054
36,Bhakkar,Al Azeem Clinical Lab,"Khansar Road, Opposite DHQ Hospital, Bhakkar",0333-6842852
37,Bhakkar,Al Azeem Clinical Laboratory,"Near THQ Darya Khan, District Bhakkar",0333-4723
38,Bhakkar,Al Khidmat Clinical Laboratory,Near DHQ Hospital Bhakkar,0332-7647303
39,Bhakkar,"Al Khidmat Diagnostic Center, College Road, Bhakkar","Ramzan Plaza College Road, Bhakkar",0301-6958026
40,Bhakkar,"Pathology Lab, Near Chishti Chowk, Bhakkar","Near Chishti Chowk, Bhakkar",0303-9219498
41,Chakwal,Al Shifa Lab,"B.K Market, Opposite Emergency Gate, Jhelum Road,Chakwal",03219391838
42,Chakwal,Aslam Health Care Lab,"Village & Post Office Dhudial Near Hascol Petrol Pump Pindi Road, Chakwal",03135911333
43,Chakwal,Chakwal Diagnostic Centre,"Unique Plaza Pindi Road, Chakwal",03330510801
44,Chakwal,"FS Lab Services, Pindi Road Chakwal",Al Rehman Plaza Opp Govt College Pindi Road Chakwal,0334-5150430
45,Chakwal,H Askari Lab,"Opp Nadra Office Pindi Road,Chakwal",0334-2726904
46,Chakwal,"Hassan Clinical Laboratory, Hospital Road, Chakwal","Raja Center Near Zafar Hotel, Hospital Road, Chakwal",0333-5907688
47,Chakwal,Islamabad Diagnostic Centre,"Talagang Branch, M.Shakeel Plaza,Mundial,Chakwal Road,Talagang,Chakwal",03345387835
48,Chakwal,Islamabad Diagnostic Centre (Pvt) Ltd,"Opposite DHQ Hospital, Jhelum Road, Chakwal",03135911333
49,Chakwal,"Kashif Laboratory, Hospital Road, Chakwal","Mohalla Sir Gojra Girls College Road, Chakwal",0333-5901167
50,Chakwal,Mehar Memorial Clinical Lab,"Opposite DHQ Hospital, Chakwal",0311-5724060
51,Chiniot,Aamir Clinical Laboratory,"Katchery Road, Chiniot",0321-7712007
52,Chiniot,Al Meezan Lab,"City Police Station Road Opp Khair ul Bashar Hospital, Chiniot",0321-7710142
53,Chiniot,"Jinnah Laboratery, Mohallah Garah, Chiniot","Mohallah Garah Near Firebrigade Office, Chiniot",0340-1799005
54,Chiniot,National Clinical Laboratory,"Near Post Office Bhowana, Chiniot",03326259201
55,Chiniot,Perfect Lab,"Near Sardaran Siddique Hospital Jhumra Chowk, Chiniot",03010698176
56,Dera Ghazi Khan,"Al Shifa Lab, DHQ Hospital, Dera Ghazi Khan","Opposite Trauma Center, DHQ Hospital, Dera Ghazi Khan",
57,Dera Ghazi Khan,"City Lab, Jampur Road, Dera Ghazi Khan","Jampur Road, Dera Ghazi Khan",0321-6792322
58,Dera Ghazi Khan,DG Lab,"Thokar Road ,Kot Chutta , Distt D.G Khan",0332-4430295
59,Dera Ghazi Khan,"Ghazi Clinical Laboratory, Railway Road, Dera Ghazi Khan","Shop No 1, Jinnah Medical Complex, Railway Road, Dera Ghazi Khan",0321-6790818
60,Dera Ghazi Khan,Hamdard Lab,"Jail Road, Behind Al Habib Bank, D.G Khan",0344-7031991
61,Dera Ghazi Khan,Hasnain Laboratory,"Opposite Trauma Center DHQ Hospital Balakh Sarwar,DG khan",0333-6471610
62,Dera Ghazi Khan,Indus Diagnostic and PCR Lab,"Balakh Sarwar city Near Alfalah Bank DHQ Hospital ,DG Khan",0333-5311514
63,Dera Ghazi Khan,Jinnah Lab,Jinnah Lab Block no13 Railway Road DG Khan,
64,Dera Ghazi Khan,Lahore Lab D.G Khan,"Jampur Road, Balakh Sarwar, D.G Khan",0331-7377224
65,Dera Ghazi Khan,New Ibraheem Clinical Lab,"Hospital Chowk Street No 2, Opposite Trauma Center, Dera Ghazi Khan",0334-6489377
66,Dera Ghazi Khan,"Raza Lab, Musharraf Chowk, D G Khan","Block No 9, Musharraf Chowk, Dera Ghazi Khan",0333-5733176
67,Dera Ghazi Khan,Real Diagnostic Lab,Balakh Sarwar City Street No. 3 Deragazi Khan,
68,Dera Ghazi Khan,"Shahzad Lab, Railway Road, Dera Ghazi Khan",Block No 13 Railway Road Dera Ghazi Khan,
69,Dera Ghazi Khan,Star Clinical Laboratory,"Street No.03, Chah Mazari Wala, Balakh Sarwar City, Dera Ghazi Khan",03336462464
70,Faisalabad,Aalam Health Care Laboratories,"Shalimar Chowk, 3 # Stop, Halal Road, Faisalabad",03315279152
71,Faisalabad,"Ahmad Labs, Satiana Road, Faisalabad","580-B, Peoples Colony, Saleemi Chowk, Satiana Road, Faisalabad",0333-6582008
72,Faisalabad,Al Barkat Lab,"155-X, Jattan Wala Chowk, Madina Town, Faisalabad",03315699416
73,Faisalabad,Al Falah Clinical Laborarty,"New P/O Road Near Chinioti Gate, Chak Jhumra, Faisalabad",0321-7642306
74,Faisalabad,"Al Hameed Laboratory, Millat Town Faisalabad",Opp Shell Patrol Pump Millat Town Faisalabad,
75,Faisalabad,"Al Kabeer International Diagnostic & Research Laboratory, Sargodha Road, Faisalabad","Allied Mor, Opposite Crescent Mill Gate No.1 Sargodha Road, Faisalabad",03217201209
76,Faisalabad,"Al Karam Clinical Laboratories, G.M Abad Faisalabad",Iqbal Chowk Sadar Bazar G.M abad Faisalabad,0313-7753311
77,Faisalabad,"Al Khidmat Laboratories, Allied Hospital, Faisalabad","Akbarabad Chowk Near Allied Hospital, Faisalabad",0332-6850118
78,Faisalabad,Al Madina Laboratory,"Mian Jaranwala Road, Zubair Colony, Madina Town, District Faisalabad",0300-7642914
79,Faisalabad,"Al Meezan Diagnostic Centre, Jail Road, Faisalabad","Plote No.122, Jail Road, Rafique Colony, Faisalabad",0333-8981196
80,Faisalabad,"Al Raheem Lab, Gulistan Colony, Faisalabad","Opp Aziz Fatima Hospital Gulistan Colony, Faisalabad",
81,Faisalabad,"Al Rahmat Diagnostic Centre, Manawala Faisalabad",Near NBP 204 Chak Road manawala Faisalabad,0333-8969074
82,Faisalabad,Al Rehman Lab,"Akbarabad Chowk, Near Allied Hospital, Faisalabad",0321-2394224
83,Faisalabad,"Al Rehmat Hormone Laboratory, Sheikhupura Road, Faisalabad","Near Nishatabad Pul Main Sheikhupura Road, Faisalabad",0315-7206110
84,Faisalabad,Al Rifah Labs,"Bilal Chowk, Samanabad , Faisalabad",03424053350
85,Faisalabad,Al Shifa Diagnostic & Research Lab,"Near Akbarabad Chowk, Allied Hospital, Faisalabad",0336-7739734
86,Faisalabad,Al Shifa Laboratory,"Near Imam Bargah, Circular Road, Jaranwala, District Faisalabad",0321-7671486
87,Faisalabad,Alfa Diagnostic Services,"P-5/C Adj Shell Petrol Pump, Opposite Old Board Office, Jail Road, Faisalabad",03455207292
88,Faisalabad,Al-Kabeer Laboratories & Diagnostic Centre,"Street No.05, Akbarabad, Near Allied Hospital, Faisalabad",03339669059
89,Faisalabad,"Allied Diagnostic & Reserach Centre, Main Jail Road, Faisalabad","Main Jail Road Near Rafiq Colony Chowk, Faisalabad",03016518611
90,Faisalabad,"ALPHA Hormone Lab, Samanabad, Faisalabad",Bilal Chowk Main Road Samanabad Faisalabad,
91,Faisalabad,Al-Rahat Clinical Lab & Diagnostic Centre,"Akbarabad Chowk, Daewoo Road Near Allied Hospital, Faisalabad",03216605620
92,Faisalabad,Al-Rahmat Laboratories,"Ajmal Centre, 289, Batala Colony, Faisalabad",0321-9668905
93,Faisalabad,Al-Rehman International Laboratories & Diagnostic Centre,The Main Samnabad Road Faislabad,03063892826
94,Faisalabad,Alvi Laboratories,"Akbarabad Chowk, Near Allied Hospital, Faisalabad",0300-7605393
95,Faisalabad,Al-Wahid Lab,"Gulberg Road, Jinnah Colony, Faisalabad",03217201209
96,Faisalabad,Arfa Diagnostic Centre,"Saddar Bazar Ghulam Muhammadabad, Faisalabad",03005223485
97,Faisalabad,Arfa Diagnostic Centre,"Street No.3, Akbarabad Chowk, Near Allied Hospital, Faisalabad",03137756777
98,Faisalabad,"Askari Clinical Laboratory, Mansoorabad, Faisalabad","St # 12 Mansoorabad, Faisalabad",0333-6550714
99,Faisalabad,"Azizia Lab, Johar Colony, Faisalabad","P-1091-A Khalkia Maternity Home Johar Colony Near Matto Pura, Faisalabad",0321-6605197
100,Faisalabad,Bio Lab Diagnostic Center,"Main Road Samnabad, Faisalabad",0321-7632000
101,Faisalabad,Biozone Helathcare Laboratories,"Near Crescent Mill, Main Sargodha Road, Faisalabad",03096056685
102,Faisalabad,"Chaughtai Stat Lab, Main Satiana Road, Faisalabad","571-B Peoples Colony # 1, Main Satiana Road, Faisalabad",0345-8445093
103,Faisalabad,City Lab Faisalabad,"Near Allied Hospital, Akbarabad Chowk, Faisalabad",0300-6660818
104,Faisalabad,Dawaa & Dua Laboratory,"302/A, Peoples Colony No 2, Faisalabad",0300-9840138
105,Faisalabad,"Dia Scient Health Care Labs,","35-G, Raja Road, Gulistan Colony, Faisalabad",03007223597
106,Faisalabad,Doctors Diagnostic Lab,Near Akber Hospital Laker Mandi Road 40 More Jaranwala Faisalabad.,03224281312
107,Faisalabad,Doctors Lab and Research Centre,"Akbarabad, Near Allied Hospital, Faisalabad",0300-7605393
108,Faisalabad,Dr Rehman Laboratory,"Main Road, Allama Iqbal Colony, Mathai Wala Chowk, Faisalabad",0300-6677465
109,Faisalabad,Eden Laboratory & Diagnostic Centre,"Liaqat Chowk Govt. General Hospital Ghulam Muhammad Abad, Faisalabad",03188787571
110,Faisalabad,Faisalabad Punjab Diagnostic Lab,"1405-B Bilal Chowk,Main Road,Samanabad,Faisalabad",0321-6605620
111,Faisalabad,Health Care Khidmat Diagnostic Laboratories,"National Hospital Near Tabbaq Restrunt, Gulberg Road, Faisalabad",0306-6081564
112,Faisalabad,Health Zone Lab,"Al Siddiqi Market Raheem Block, Haseeb Shaheed Colony, Faisalabad",0301-5552094
113,Faisalabad,Ideal Diagnostic Center,"Al Hadi Center VIP Block, Tech Town Satyana Road,Faisalabad",0300-9656212
114,Faisalabad,Islamabad Diagnostic Centre (Pvt) Ltd,"563-B, Peoples Colony Satyana Road Faisalabad",0321-8669329
115,Faisalabad,Itefaq Harmone Lab,"Old Bakar Mandi Road Near Al-Haram Marriage Hall, Faisalabad",03424053350
116,Faisalabad,"Jhumra Clinical Lab, Imambargah Road, Faisalabad","Imambargah Road Near Dr Naseem Irshad Hospital Chak Jhumra, Faisalabad",0300-7670403
117,Faisalabad,Jinnah Lab,"567-B, Peoples Colony, Faisalabad",0300-6668754
118,Faisalabad,Khidmat Diagnostic Laboratory,"Main Rehmania Road Near Sughra Trust Hospital, Faisalabad",0306-7168758
119,Faisalabad,Khidmat E Khalq Laboratories,"Sharif Chowk Main D Type Colony, Faisalabad",0322-6300012
120,Faisalabad,Khidmat e Khalq Laboratory,Opposit GC University Allama Iqbal Town Road Faisalabad,0300-9565872
121,Faisalabad,"Khidmat Lab, Gulberg, Faisalabad","Main Road Gulberg Opposite National Hospital, Faisalabad",0300-9665639
122,Faisalabad,Life Care Laboratory,"Rehman Chowk, Madina Town, Faisalabad",0345-5207292
123,Faisalabad,Lyallpur Diagnostic Clinical & Research Lab,"Street No.05, Akbarabad Opposite Allied Hospital, Faisalabad",
124,Faisalabad,Max Lab Clinical & Research Laboratories,"P-602 main Jinnah Colony Gate, Faisalabad",03339669059
125,Faisalabad,"Meezan Laboratory, Jail Road, Faisalabad","Rafiq Colony, Street No. 01, Jail Road, Faisalabad",0322-6261557
126,Faisalabad,Millat Laboratory,"575 B Peoples Colony Satiana Road, Faisalabad",0321-6680733
127,Faisalabad,Molecular Care Lab,"University Of Agriculture, Faisalabad",03036661723
128,Faisalabad,"National Laboratory, Near Allied Hospital, Faisalabad","Jail Road Akbar Chowk Near Allied Hospital, Faisalabad",0321-2615333
129,Faisalabad,New Khidmat-E-Khalaq Laboratory,"Allama Iqbal Main Road Methai Wala Chowk, Faisalabad",03217887971
130,Faisalabad,New Millat Laboratory,"Opposite DHQ Hospital, Faisalabad",0333-6617864
131,Faisalabad,"Pakistan Shifa Lab, Main Sheikhupura Road Faisalabad",Adda Johalan Stop Main Sheikhupura Road 32 KM Faisalabad,0305-9115885
132,Faisalabad,Punjab Clinical Lab,"Saleemi Chowk Satiana Road, Faisalabad",0300-7746262
133,Faisalabad,"Raheem Clinical Laboratory, Main Narwala Road Faisalabad","Awami Colony No 2, Main Narwala Road Near Rabia Ultrasound And Mobilink Office Faisalabad",0300-4878841
134,Faisalabad,Rapid Care Diagnostic Center,Rapid Care Diagnostic Center near madni chowk main road Samnabad Faisalabad,03315699416
135,Faisalabad,"Rehman Clinical Laboratory, Ghulam Mohammad Abad, Faisalabad",35-B Ghulam Mohammad Abad District Faisalabad,0302-7014162
136,Faisalabad,"Rehman Laboratory, Gulistan Colony, Faisalabad","P-158-B Millat Road Gulistan Colony, Faisalabad",0300-6699565
137,Faisalabad,Rehmat Diagnostic Laboratories,"Partab Nagar Street No 1 Near Sufi Auto Opp Shell petrol Pump, Jhang Road, Faisalabad",0300-8963030
138,Faisalabad,Rehmat Lab,"General Hospital Near Police Staton, Samanabad, Faisalabad",
139,Faisalabad,Rifah Laboratories,"Akbarabad Chowk, Near Allied Hospital, Faisalabad",0333-6517751
140,Faisalabad,Rifah Laboratories,Main Bazar Jhumra Road Near UBL Khurianwala Faisalabad,0300-7281762
141,Faisalabad,"Rifah Laboratories, Ghulam Muhammadabad, Faisalabad","Sadar Bazar, Ghulam Muhammadabad, Faisalabad",0322-3030330
142,Faisalabad,"Rifah Laboratories, Jinnah Colony, Faisalabad","Main Bazar, Near Ideal Sweets, Jinnah Colony, Faisalabad",0333-9922154
143,Faisalabad,Royal Lab & Reserch Center,"P-325 Green View Colony Near Muhammad Hospital, Faisalabad",
144,Faisalabad,Royal Laboratories,"Opposite Rehman Hospital Jinnah Colony, Faisalabad",0321-7828034
145,Faisalabad,Shaheen Laboratory,"Near Main Bazar, Khurrianwala, Faisalabad",0345-7678349
146,Faisalabad,"Standard Lab, Ismail Road, Faisalabad","Opposite Allied Hospital, Ismail Road, Faisalabad",
147,Faisalabad,"Talha Labs Clinical Laboratory, G.M Road, Faisalabad","Opposite Main Gate General Hospital, G.M Road, Faisalabad",0300-7608863
148,Faisalabad,Test Point Clinical Lab,"674-A Pepole Colony No 1 Near Faisal Hospital, Faisalabad",0300-7606356
149,Faisalabad,Test Zone Diagnostic Centre,"Millat Chowk Near Ideal Bakers Opposite Rao Corporation, Faisalabad",03216620061
150,Faisalabad,The Aga Khan University Hospital Stat Lab,"Near Hardees, Gateway Tower Gates Chowk Satayana Road, Faisalabad",0300-2179223
151,Faisalabad,Zymotic Diagnostic Center,"Plot No 8 Office No 504,505 4th Floor, Business Center, Regency Road, New Civil Line, Faisalabad",0333-8389592
152,Gujranwala,Access Laboratory,"Munir Chowk, Al-Aziz Market, Opposite DHQ Hospital, Gujranwala",03201111570
153,Gujranwala,Al Khidmat Medical Lab,Alamgir Road Kamoke.Gujranwala,03236318331
154,Gujranwala,"Alaq Medical Diagnostic Centre, Kashmir Road, Gujranwala","Main Sialkot Road, Opposite Need Store and Christian Graveyard, Gujranwala",0300-4463811
155,Gujranwala,Al-Falaq Diagnostic Centre,"10-DC Road, Gujranwala",03006487512
156,Gujranwala,Alliance Diagnostic Centre,"Green Valley Housing Society, Phase 5, Plaza No. 22, Main Sialkot Road, Gujranwala",0333-4081824
157,Gujranwala,"All-Noor Medical & Diagnostic Centre, Gujranwala",Ali Centre Main G.T Road Near Regent Cinema Gujranwala,0333-5352124
158,Gujranwala,"Arsh Diagnostic Centre, Kangni wala Main Road, Gujranwala",Gujranwala Sialkot By Pass Kangniwala Main Road Road Pepli Wala Chowk Opposite Sainatary MKT Gujranwala,0322-8095143
159,Gujranwala,"Asad Clinical Lab, Munir Chowk, Gujranwala","Munir Chowk, Gujranwala",0322-5563009
160,Gujranwala,Baserat Laboratory,"Aziz Market Opposit Civil Hospital, Dr.Qaiser Saeed Clinic, Gujranwala",03321779216
161,Gujranwala,"Best Care Lab, Munir Chowk, Gujranwala",Near Majeed Complex Munir Chowk Gujranwala,0300-6433749
162,Gujranwala,Capital Medical Lab,"Opp DHQ Hospital Aziz Market, Gujranwala",0309-5700014
163,Gujranwala,Chughtai Stat Lab,"Sialkot Road Near Total Petrol Pump, Gujranwala",0321-5427754
164,Gujranwala,Citi Care Diagnostic centre,"28 DC Road, Lalazar Colony, Gujranwala",0300-8428680
165,Gujranwala,Danish Clinical Lab,"Muneer Chowk, Ghazi Plaza, Gujranwala",0305-4984461
166,Gujranwala,Eagle Clinical Lab,"Railway Road, Wazirabad, Gujranwala",03225563009
167,Gujranwala,"EMMAN Medical Center, Kangniwala Bypass, Gujranwala","Kangniwala Bypass, Opposite Rana Nasir House, Gujranwala",
168,Gujranwala,Express Lab & Diagnostic Services,"Inside Chaudhary Hospital, Satellite Town, Gujranwala",0301-8415678
169,Gujranwala,Faisal Clinical Laboratory,"GT Road, Ghakhar Mandi Al Riyaz Market, Gujranwala",0300-6433425
170,Gujranwala,"Fatima Laboratories, Al Rehman Plaza, Gujranwala","Al Rehman Plaza, Munir Chowk, Gujranwala",
171,Gujranwala,Fraz Lab,Fraz Lab Munir Chowk Civil Lines District Gujranwala,0300-8649690
172,Gujranwala,"Give Lab, Court Road, Gujranwala","Munir Chowk Court Road, Gujranwala",
173,Gujranwala,"Health Care Diagnostic Centre,","Main Sialkot Bypass Road, Opp. Royal Garden Hotel, Gujranwal",
174,Gujranwala,Health Laboratories,"Aziz Market Opposite Main Gate DHQ Hospital, Gujranwala",03311163534
175,Gujranwala,Imperial Laboratories,"Opposite To PTCL Exchange Main GT Road, Pak Town, Kamoki, Gujranwala",0333-5473393
176,Gujranwala,Infinity Stat Lab Gujranwala,"Bhatti Hospital, Kacheri Road, Near UBL Bank, Munir Chowk, Gujranwala",03124824633
177,Gujranwala,Jamil Pathology Lab,"Asad Centre, Minir Chowk, Ketchery Road, Gujranwala",03354938544
178,Gujranwala,"Life Care Diagnostic Centre, Al-Meraj Fan Gondalawala Road, Gujranwala","426-B Model Town Opp Al-Meraj Fan Gondalawala Road Qiladedar Singh, Gujranwala",0300-6434605
179,Gujranwala,Meharban Lab & Digital X-Ray,"Opposite Bhutta Plaza College Road, Gujranwala",03477716964
180,Gujranwala,Misbah Diagnostic Center,"Zia Plaza Opp GTS Bus Stand G T Road, Gujranwala",0333-5188151
181,Gujranwala,Naveed Lab & Blood Bank,"Al Aziz Market, Opposite DHQ Hospital, Gujranwala",0300-6434605
182,Gujranwala,New Naveed Lab,"Khan Masjid Noushera Road, Gujranwala",03477716964
183,Gujranwala,Noor Poly Lab,"Depu Wali Galli Gill Road, Gujranwala",03441403247
184,Gujranwala,Pacific Diagnostic Center,"Main Sialkot Bypas Road Near Khurram Fillaing Station Opp Garden Town, Gujranwala",0306-8888040
185,Gujranwala,Pride Lab,"Aziz Market, Opposite DHQ, Gujranwala",0333-3455855
186,Gujranwala,Real Lab Lahore,"Civil Hospital Road, Munir Chowk, Gujranwala",03225543911
187,Gujranwala,"Royal Diagnostic Centre, Sui Gas Road, Gujranwala","House 202, Suigas Road, Gujranwala",0300-8633664
188,Gujranwala,Saad Clinical Lab,"Opposite Trauma Centre DHQ, Munir Chowk, Gujranwala",03034556671
189,Gujranwala,SKMCH&RC DIAGNOSTIC LABORATORY-Gujranwala,"Bukhari Plaza, Civil Line Road, Opposite Jamia Qudsia Mosque",03006426725
190,Gujranwala,Sky Lab & Diagnostic Services Center,"Opposite DHQ Hospital, Hospital Road, Gujranwala",0323-1611394
191,Gujranwala,The Lahore Lab & Diagnostic Centre,"Munir Chowk, Ketchery Road, Gujranwala",03338185636
192,Gujrat,Abbasi Lab,"Karim Center, Shop No 20 FF, Sarai Alamgir, Gujrat",0302-5807801
193,Gujrat,AL REHMAN LAB,Railway Phatak Opp Dr.Abul Majid Clinic Sarai Alamgir Distt Gujrat,03335881507
194,Gujrat,Awami Lab,"1st Floor Hilal-e-Ahmer Complex Gulzar-e-Madina Road, Gujrat",03338430929
195,Gujrat,"Bukhari Diagnostic Centre, Rehman Shaheed Road, Gujrat","Bukhari Diagnostic Centre, Rehman Shaheed Road, Gujrat",0300-8720397
196,Gujrat,Care First Laboratory & Diagnostic Center,"Panjeri Complex Opp Sindh Bank,Fawara Chowk,Sarai Alamgir,Gujrat",0333-5846989
197,Gujrat,Chughtai Pathology Lab Gujrat,Bhimber Road Adjoint Poly clinic Hospital Gujrat,03004354411
198,Gujrat,"Citi Lab & Research Centre, Bimber Road Gujrat",Opposite Al Shafi Hospital Bimber Road Gujrat,0300-4265177
199,Gujrat,"City Laboratory, Lalamusa, Gujrat","Main Bazar Lalamusa, Gujrat",0345-5222649
200,Gujrat,CREST Diagnostic PVT LTD,Basement Najam Hospital Opposite Session Court G-T Road Kharian Gujrat,0300-6003119
201,Gujrat,Dr. AR Lab,"Court Road Near Dubai Islamic Bank, Katchery Chowk, Gujrat",0333-6209693
202,Gujrat,Ehsan Clinical Laboratory,"Khatana Market, Sadwal Road, Kotla Arab Ali Khan, Gujrat",
203,Gujrat,Etihad Laboratories,"12-Bhimber Road Opposite Chenab Hospital, Gujrat",03338430929
204,Gujrat,Friends Lab,"Main G.T Road, Kharian, Gujrat",
205,Gujrat,"Health Diagnostic Laboratory , G.T Road lalamusa , Gujrat","Opposite Shabbir Shaheed Hospital, Gujrat",0337-7512299
206,Gujrat,"Ibraheem Lab, Kharian Gujrat","Sadwal Road Kotla Arab Ali Khan, Kharian, Gujrat",0300-5627461
207,Gujrat,Islamabad Diagnostic Centre (Pvt) Ltd,"Sarwar Plaza, Marghzar Colony, Purani Chungi Bhimber, Near Aziz Bhatti Shaheed Teaching Hospital, Jail Road, Gujrat",0346-8297977
208,Gujrat,New Shaheen Diagnostic Centre,"Railway Road, Lala Musa, Kharian, Gujrat",03344522211
209,Gujrat,New Zam Zam Medical Lab,Shabir Market Road Gulyana Khariyan Gujrat,0345-8884007
210,Gujrat,Shadab lab Clinical Laboratory,"Al Karam Plaza, Kotla Arab Ali Khan, Kharian, Gujrat",
211,Jhang,"Al Khidmat Diagnostic Center, Gojra Road, Jhang","Gojra Road, Jhang",0300-7508103
212,Jhang,"Al Khidmat Diagnostic Centre, Shor Kot, Jhang","Shahid Shaheed Road Shor Kot, Jhang",
213,Jhang,Al Rehman Lab,"Transfer Chowk Satellite Town, Jhang",0346-7200356
214,Jhang,"Askari Lab, Gojra Road, Jhang",Askari Lab Gojra Road Jhang,0301-6994787
215,Jhang,"Gondal Clinical Laboratories, Gojra Road, Jhang","Gondal Clinical Laboratories, Gojra Road, Jhang",0334-6300354
216,Jhang,"Khalid Clinical Laboratory, Opp D.H.Q. Hospital, Jhang",Opp D.H.Q Hospital District Jhang,0333-6538564
217,Jhang,Manha Lab & Diagnostic Center,PAF Base Road Near P/O Shorkot Cant,
218,Jhang,Mishal Diagnostic Laboratory,"Gojra Road, Opp DHQ T.B Hospital, Jhang",0334-6508547
219,Jhang,The Life Laboratory,Shop 5 Crown Plaza Gojra Road Nawaz Chowk Jhang Sadar,03338945221
220,Jhang,Wahdat Clinical Lab,"Near Railway Phatak, Gojra Road,Jhang Saddar, Jhang",03334954967
221,Jhelum,Ahmed Diagnostic,"Jada Road, Near DHQ Hospital, Jehlum",0300-9519439
222,Jhelum,Ahmed Lab,"Chauhdry Shopping Centre, Dina, Jhelum",0300-9516528
223,Jhelum,Col.Hafeez Memorial Laboratory & Diagnostic Centre,"Machine Mohallah No.01, Jhelum",03316584362
224,Jhelum,Dina Diagnostic Centre,"Near Allied Bank GT Road Dina,Jhelum",03335943808
225,Jhelum,"Islamabad Diagnostic Centre (Pvt) Ltd, Jhelum","Outside District Headquarter Hospital, Jhelum Road, Jhelum",0300-5137123
226,Jhelum,"Jhelum Tariq Lab, Jada, Jhelum","Old GT Road, Jada, Jhelum",03348647080
227,Jhelum,KSK Lab,"Shop No.14 Noor Plaza, Iqbal Library Road, Jhelum",03336554320
228,Jhelum,New Capital Lab,"Shadab Road, Near FBR Office, Jhelum",03335943808
229,Jhelum,Premier Pathology Lab,"Chak Jamal, Opposite Middle School (Boys), Jhelum",0334-9578691
230,Jhelum,Saad Diagnostic Lab,"Near Haq Bahoo Hotel Main Road Sanghoi, Jhelum",03467514542
231,Jhelum,Shaheen Diagonostic Center Jhelum,"CMH Jhelum Cantt Opp ABL, Jhelum",0346-7955055
232,Jhelum,Tariq Pathology Lab,Near Bohla Marriage Hall & UBL Bank G.T Road Dina District Jhelum,0345-5093480
233,Jhelum,Wasfa Diagnostic Center,"Akram Shaheed Road, Near Govt. High School, Jhelum",0336-7122225
234,Jhelum,"Zam Zam Diagnostic Centre, Near Main Gate DHQ, Jhelum","Near Main Gate DHQ Hospital, Jhelum",0300-9525440
235,Kasur,Ahmad Lab & Diagnostic Center,"Main Bazar Habibabad Near Ahmad Public School, Kasur",
236,Kasur,"Al Noor Test Lab, Habibabad, Kasur","Main Bazar GT Road Habibabad, Kasur",
237,Kasur,Al-Naeem Diagnostic Lab,"Main Bazar Near Habib Bank Limited Habibabad, Pattoki, Kasur",
238,Kasur,Al-Shifa Labs & Diagnostic Centre,"Steel Bagh, Near DHQ Hospital, Kasur",03327675225
239,Kasur,City Medical Lab,"Chowk Lalyani Adda, Railway Road, Kasur",0321-6574271
240,Kasur,"Faisal Askari Clinical Lab, Chunian, Kasur","Near Wapda Complaint Office Chunian, Kasur",
241,Kasur,Haq Medical Lab,"Opposite Imam Bargah, Main Ferozpur Road, Mustafabad, Kasur",
242,Kasur,Hi Care Diagnostic Lab,"Main Kalarkabad Opp THQ Hospital, Kot Radha Kishan, Kasur",0341-8759958
243,Kasur,One Life Laboratory,"Kasur City Hospital, Near Kali Pul, Kasur",03349686443
244,Kasur,Pure Health Lab & Diagnostic Center,Main ferozpur road near karachi biryani mustafabad lalyani,03349994773
245,Kasur,"Saeed Medical Lab, Faisal Colony Pattoki Kasur",Faisal Colony Pattoki Kasur,0321-4039163
246,Kasur,Universal Lab,"Opposite THQ Hospital, Clarkabad Road Kot Radha Kishan, Kasur",03004994700
247,Kasur,Usman Diagnostic Centre,"Khan Market Near Noor Masjid Chowk, Shahbaz Khan Road, Kasur",
248,Khanewal,Aas Lab & Diagnostic Centre,"Talamba Road, Mianchannu, Khanewal",03106204435
249,Khanewal,Al-Latif Clinical Laboratory,"Near Gole Chowk Jahania Opposite Al-Latif Clinic, Jahanian, Khanewal",03327017735
250,Khanewal,Allied Bio Clinical Laboratory,21-A Stadiam Road Block 16 Khanewal,0300-6883844
251,Khanewal,Biotech Molecular and Clinical Lab,"Stadium Road, Khanewal",03337774244
