No.,,,,,
,District,HCE Name,Address,Sector,
64,Jhang,Sadaf Medicare,"Opposite Daewoo Bus Stand, Bhakkar Road, Jhang",Private,
65,Jhang,Nighat Medical Complex,"Samanabad, Gojra Road, Jhang",Private,
66,Jhang,Hamza Medical Centre,"Nawaz Chowk Opposite Charchi Ground, Jhang",Private,
67,Jhang,Doctor's Hospital,"Church Road, Civil Lines, Jhang Sadar",Private,
68,Jhang,District Headquarter Hospital Jhang,"Gojra Road, Jhang",Public,
69,Jhang,Asghar Medical Complex,"Shorkot City Road, Jhang",Private,
70,Jhelum,Tehsil Head Quarter Hospital Sohawa,"Sohawa, Jhelum",Public,
71,Jhelum,Sarmad Hospital,"Kutchery Road, Near Muhammadi Chowk, Jhelum",Private,
72,Jhelum,Jhelum Cardiac Center,"Near Nayyar Hussain Mills, GT Road, Jada, Jhelum",Private,
73,Jhelum,District Headquarter Hospital Jhelum,"Old G.T Road Jada, Jhelum",Public,
74,Jhelum,Captain Muazzam Ali Shaheed Welfare Council,"Azeem Road Kala Gujran, Jhelum",Private,
75,Kasur,Rural Health Center Mustafabad,Mustafabad District Kasur,Public,
76,Kasur,Pak Red Crescent Teaching Hospital,"48 KM Multan Road Dina Nath, Kasur",Private,
77,Kasur,Noor Hospital,"Kot Radha Kishen, Kasur",Private,
78,Kasur,District Headquarter Hospital Kasur,"Steel Bagh Chowk, Kasur",Public,
79,Khanewal,Sameen Zafar Medical Centre,"Opposite DHQ Hospital, Kabirwala, Khanewal",Private,
80,Khanewal,Saeed Medicare Hospital,"Tulamba Road, Mian Channu, District Khanewal",Private,
81,Khanewal,Abid Hospital,"Near Chungi Talumba Road, Mian Channu, Khanewal",Private,
82,Lahore,Usman Hospital,"228 Firdous Park Opposite Lahore General Hospital Feroze Pur Road, Lahore",Private,
83,Lahore,University of Lahore Teaching Hospital,"I-KM Defence Road Off Raiwind Road Bhobatian Chowk, Lahore",Private,
84,Lahore,The Pakistan Society for the Rehabilitation of the Disabled,"111-Ferozepur Road, Lahore",Private,
85,Lahore,The Layton Rahmatulla Benevolent Trust (LRBT),"Free Secondary Eye Hospital Bagh Stop 13-Km Multan Road Thokar Niaz Baig, Lahore",Private,
86,Lahore,The Layton Rahmatulla Benevolent Trust (LRBT),"436-A/I, Township, Lahore",Private,
87,Lahore,The Children's Hospital & Institute of Child Health,"Ferozpur Road, Lahore",Public,
88,Lahore,"Tehsil Headquarter Hospital, Kahna Nau","Kahna Nau, District Lahore",Public,
89,Lahore,Tehsil Headquarter Hospital Sabzazar,"Near Liaqat Chowk Sabzazar, District Lahore",Public,
90,Lahore,"Surgimed Hospital,","1 - Zafar Ali Road, Lahore",Private,
91,Lahore,Surayya Azeem (Waqfl Teaching Hospital,"5 Bahawalpur Road Chowk Chouburji, Lahore",Private,
92,Lahore,Social Security Teaching Hospital,"Multan Road, Lahore",Public,
93,Lahore,Sir Ganga Ram Hospital,"Queens Road Shahra-e-Fatima Jinnah, Lahore",Public,
94,Lahore,Shaukat Khanum Memorial Cancer Hospital & Research Centre,"7-A, Block R-3, M.A. Johar Town, Lahore",Private,
95,Lahore,Sharif Medical City Hospital,"Jati Umra, Off Raiwind Road, Lahore",Private,
96,Lahore,Shalamar Hospital,"Shalimar Link Road, Mughalpura, Lahore",Private,
97,Lahore,Shaikh Zayed Post Graduate Medical Complex,New Muslim Town Lahore,Public,
98,Lahore,Services Hospital,"Ghous-ul-Azam (Jail Road), Lahore",Public,
99,Lahore,"Saira Memorial Hospital,","I-M Civic Center, Model Town Extension, Lahore",Private,
100,Lahore,Saadan Hospital,"391-E Block, Main Boulevard, Johar Town, Lahore",Private,
101,Lahore,"Rural Health Centre Raiwind, Lahore",District Lahore,Public,
102,Lahore,"Rehmatul-lil-Alameen Post Graducate Institute of Cardiology (PESSI),","Multan Chungi Multan Road, Lahore",Public,
103,Lahore,Rasheed Hospital,"Main Bolevourd, DHA, Lahore",Private,
104,Lahore,Ramzan Ali Syed Memorial Hospital,"21-Temple Road, Lahore",Private,
105,Lahore,Raiwind Hospital,"Mission Colony Kot Radha Kishan Road Raiwind, Lahore",Public,
106,Lahore,Punjab Institute Of Cardiology,Ghous-ul-Azam (Jail) Road Lahore,Public,
107,Lahore,OMC Hospital (Orthopaedic Medical Complex & Hospital),"15 Shadman-II, Opposite Kinnaird College, Jail Road, Lahore",Private,
108,Lahore,Omar Hospital And Cardiac Centre,"Johar Town Branch, Lahore",Private,
109,Lahore,Omar Hospital,"5 Shadman-II, Jail Road, Lahore",Private,
