,,,,
Sr. No.,District,HCE Name,Address,Contact#
222,Jhang,"Gondal Clinical Laboratories, Gojra Road, Jhang","Gondal Clinical Laboratories, Gojra Road, Jhang",0334-6300354
223,Jhang,"Khalid Clinical Laboratory, Opp D.H.Q. Hospital, Jhang",Opp D.H.Q Hospital District Jhang,0333-6538564
224,Jhang,Manha Lab & Diagnostic Center,PAF Base Road Near P/O Shorkot Cant,ÿ
225,Jhang,Mishal Diagnostic Centre,"Near Civil Hospital, Gojra Road, Jhang",0334-6508547
226,Jhang,The Life Laboratory,Shop 5 Crown Plaza Gojra Road Nawaz Chowk Jhang Sadar,3338945221
227,Jhang,Wahdat Clinical Lab,"Near Railway Phatak, Gojra Road,Jhang Saddar, Jhang",3334954967
228,Jhelum,Ahmed Diagnostic,"Jada Road, Near DHQ Hospital, Jehlum",3324108177
229,Jhelum,Ahmed Lab,"Chauhdry Shopping Centre, Dina, Jhelum",0300-9516528
230,Jhelum,Col.Hafeez Memorial Laboratory & Diagnostic Centre,"Machine Mohallah No.01, Jhelum",3316584362
231,Jhelum,Dina Diagnostic Centre,"Near Allied Bank GT Road Dina,Jhelum",3335943808
232,Jhelum,"Islamabad Diagnostic Centre (Pvt) Ltd, Jhelum","Outside District Headquarter Hospital, Jhelum Road, Jhelum",0300-5137123
233,Jhelum,"Jhelum Tariq Lab, Jada, Jhelum","Old GT Road, Jada, Jhelum",3348647080
234,Jhelum,KSK Lab,"Shop No.14 Noor Plaza, Iqbal Library Road, Jhelum",3336554320
235,Jhelum,New Capital Lab,"Shadab Road, Near FBR Office, Jhelum",3335943808
236,Jhelum,Premier Pathology Lab,"Chak Jamal, Opposite Middle School (Boys), Jhelum",0334-9578691
237,Jhelum,Saad Diagnostic Lab,"Near Haq Bahoo Hotel Main Road Sanghoi, Jhelum",3467514542
238,Jhelum,Shaheen Diagonostic Center Jhelum,"CMH Jhelum Cantt Opp ABL, Jhelum",0346-7955055
239,Jhelum,Tariq Pathology Lab,Near Bohla Marriage Hall & UBL Bank G.T Road Dina District Jhelum,0345-5093480
240,Jhelum,Wasfa Diagnostic Center,"Akram Shaheed Road, Near Govt. High School, Jhelum",0336-7122225
241,Jhelum,"Zam Zam Diagnostic Centre, Near Main Gate DHQ, Jhelum","Near Main Gate DHQ Hospital, Jhelum",0300-9525440
242,Kasur,Ahmad Lab & Diagnostic Center,"Main Bazar Habibabad Near Ahmad Public School, Kasur",ÿ
243,Kasur,"Al Noor Test Lab, Habibabad, Kasur","Main Bazar GT Road Habibabad, Kasur",ÿ
244,Kasur,Al-Naeem Diagnostic Lab,"Main Bazar Near Habib Bank Limited Habibabad, Pattoki, Kasur",ÿ
245,Kasur,Al-Shifa Labs & Diagnostic Centre,"Steel Bagh, Near DHQ Hospital, Kasur",3009477712
246,Kasur,City Medical Lab,"Chowk Lalyani Adda, Railway Road, Kasur",0321-6574271
247,Kasur,"Faisal Askari Clinical Lab, Chunian, Kasur","Near Wapda Complaint Office Chunian, Kasur",ÿ
248,Kasur,Haq Medical Lab,"Opposite Imam Bargah, Main Ferozpur Road, Mustafabad, Kasur",ÿ
249,Kasur,Hi Care Diagnostic Lab,"Main Kalarkabad Opp THQ Hospital, Kot Radha Kishan, Kasur",0341-8759958
250,Kasur,One Life Laboratory,"Kasur City Hospital, Near Kali Pul, Kasur",3349686443
251,Kasur,Pure Health Lab & Diagnostic Center,Main ferozpur road near karachi biryani mustafabad lalyani,3349994773
252,Kasur,"Saeed Medical Lab, Faisal Colony Pattoki Kasur",Faisal Colony Pattoki Kasur,0321-4039163
253,Kasur,Universal Lab,"Opposite THQ Hospital, Clarkabad Road Kot Radha Kishan, Kasur",3004994700
254,Kasur,Usman Diagnostic Centre,"Khan Market Near Noor Masjid Chowk, Shahbaz Khan Road, Kasur",ÿ
255,Khanewal,Aas Lab & Diagnostic Centre,"Talamba Road, Mianchannu, Khanewal",3106204435
256,Khanewal,Al-Latif Clinical Laboratory,"Near Gole Chowk Jahania Opposite Al-Latif Clinic, Jahanian, Khanewal",3327017735
257,Khanewal,Allied Bio Clinical Laboratory,21-A Stadiam Road Block 16 Khanewal,0300-6883844
258,Khanewal,Biotech Molecular and Clinical Lab,"Stadium Road, Khanewal",3337774244
259,Khanewal,"Doctors Lab & Research Center, 14-Stadium Road, Khanewal","14-Stadium Road, Khanewal",0331-6901040
260,Khanewal,"Doctors Lab Research Centre, Zargham School, Kabirwala, Khanewal","Makhdoom Pur Road, Near Govt Zargham School. Kabirwala, Khanewal",0300-6882646
261,Khanewal,"Ikram Diagnostic Laboratory, Kabirwala, Khanewal","Opp THQ Hospital /1122 Rescue Office Multan Road Kabirwala, Khanewal",0300-6883844
262,Khanewal,Life Line Clinical Lab,"Life Line Clinical Lab, Opposite Trama Center, DHQ Hospital, Khanewal",0321-9054010
263,Khanewal,Punjab Clinical Laboratory,"Block No. 14, Street No. 2, House No. 34/B, Stadium Road, Khanewal",0345-7397328
264,Khanewal,"Tehseen Clinical Lab, Bhutta Chowk, Khanewal","H No 9, Block No 10, Bhutta Chowk, Khanewal",0332-6326564
265,Khanewal,UNION LABORATORIES & DIAGNOSTIC CENTER,"SHOP#60, GULSHAN E AHMAD PHASE 1, TULAMBA ROAD MIAN CHANNU",3008630444
266,Lahore,CMH Lahore Medical College & IOD Laboratory,"Shop No. 7, Arcade Block, Fortress Stadium, Lahore Cantt.",3004485103
267,Lahore,A One Lab,"Maqbra Jahangir Road Shahdara Town, Lahore",3366911126
268,Lahore,A.M Diagnostic Lab,"Sher Shah Road scheme No.02 Near Javed Sweets Shad Bagh, Lahore",3324184143
269,Lahore,"AAA Diagnostic Lab, Millat Road, Lahore","Basement Ikram Medical Centre, Millat Road, Islampura, Lahore",ÿ
270,Lahore,"Aalimah Diagnostic Center, 12-Shadman-II Jail Road, Lahore","12-Shadman-II Opp PIC Hospital Jail Road, Lahore",0322-2028083
271,Lahore,Abu Bakar Lab,"926/C, MAULANA SHAUKAT ALI ROAD, FAISAL TOWN, LAHORE.",3334349783
272,Lahore,Access Laboratories,"Office No.131-C, C-Block Market, Gulshan e Ravi, Lahore",0347-4052617
273,Lahore,"ACCU Lab (PVT) LTD, Rasool Park, Lahore","21-Shama Road Rasool Park, Ichra, Lahore",0311-1222207
274,Lahore,ACL Diagnostic Centre,"Main Ghazi Road, Opposite Speedo Bus Stop, Shaukat Town, Lahore",0321-9444002
275,Lahore,"Advanced Medical Diagnostic Centre,","9-B,College Block, Allama Iqbal Town, Lahore",0321-4844984
276,Lahore,AIMS Diagnostic Centre,236 A Faisal Town opposite Street Jinnah hospital Lahore,3474764394
277,Lahore,Ak Laboratory,"156-A Faisal Town Opp Jinnah Hospital, Lahore",0333-4156876
278,Lahore,Al Asr Lab & Diagnostic Center,"712-Kamran Block, Iqbal Town, Wahdat Road, Lahore",ÿ
279,Lahore,Al Faisal Lab,"Opp General Hospital, Lahore",0321-7197177
280,Lahore,Al Hamdam Lab,"Ghazi Ilam Din Road, Lytton Road, Lahore",0306-4632580
281,Lahore,Al Hameed Lab Research Centre,"28-P-Block, Sabzazar, Lahore",0333-4611346
282,Lahore,"Al Khursheed Lab & Imaging Centre,","81-D Timber Market Ravi Road, Lahore",0302-4157600
283,Lahore,"Al Khurshid Diagnostic Centre, Lahore","Chowk Nakhuda Wassan Pura, Lahore",ÿ
284,Lahore,Al Madina Lab Diagnostic Center,"23-km Main Ferozepur Road, Kahna Nau, Lahore",0310-5270444
285,Lahore,"Al Madina Medical Lab, Bhatta Chowk, Lahore","21-J, K.B Colony, Near Bhatta Chowk, Lahore",0322-8010584
286,Lahore,"Al Nasar lab & Diagnostic Centre, Maulana Shaukat Ali Road Lahore","31-E, Johar Town Maulana Shaukat Ali Road Lahore",0300-8400944
287,Lahore,"AL Nasar Lab, Maulana Shaukat Ali Road, Lahore","950-B, Maulana Shaukat Ali Road, Lahore",0301-8400944
288,Lahore,"Al Noor Diagnostic Centre, Shadman, Lahore","680-A, Shadman-1, Opp Fatima Memorial Hospital, Lahore",0300-8460505
289,Lahore,Al Noor Laboratory,30 Sham Nagar Road Lahore,3008415963
290,Lahore,Al Razi International Lab & Research Centre,"18-A Molana Shaukat ali road Johar town, Lahore",0345-4355515
291,Lahore,Al Shafi Pathology Lab,"15-Gulshan Block Main Boulevard, Allama Iqbal Town, Lahore",3094411506
292,Lahore,"Al Shifa Lab Diagnostic Center, LGH, Lahore","Near Caltex Petrol Pump, LGH, Lahore",0321-4436393
293,Lahore,"Al Shifa Lab Diagnostic Centre, Lahore",Nasrullah Plaza Near Kora Stop Main Walton Road Cantt Lahore,0321-4436393
294,Lahore,Al Sirat Lab,"172/5-C II Mader e Millat Road Near Ghazi Chowk College Road Township, Lahore",0307-5613399
295,Lahore,"Alam International Laboratory,","House No. 144-D, Mir Street (Opposite Office Al-Rehman Homes) Moulana Shoukat Ali Road, Johar Town, Lahore",3366665880
296,Lahore,AL-Hamd Medical Laboratory,Machis Factory Stop Jalal Center Plaza Shahdara Lahore,3335777103
297,Lahore,"Ali Labs, Cocacola Stop 230 Multan Road, Lahore","Cocacola Stop 230 Multan Road, Lahore",0322-8441899
298,Lahore,"Allied Lahore Lab, Paragon City, Lahore","Plaza No. 11, Imperial Market, Paragon City, Barki Road, Lahore",0308-7905860
299,Lahore,Alpha Diagnostic Center,"Near Chowk Nakhuda Near Jawa Broast Omer Din Road Wasan Pura, Lahore",3008464723
300,Lahore,Alpha Pathology Lab,"77-41-B1, Township, Lahore",0345-8289015
301,Lahore,Alpine Labs,"496 Block 2, Sector D2, Azmat Chowk, Green Town , Lahore",3018403996
302,Lahore,Al-Razi International Lab & Research Centre,"146-A, GOR-5, Block-A, Faisal Town, Lahore",3344275960
303,Lahore,Alvi Lab Clinical and Diagnostic Center,8-E Johar Town Lahore,3227280508
304,Lahore,Apex Diagnostic Centre,"207-1, B-II, Near Dr. Ashfaq Clinic, M. Ali Chowk, Township, Nishtar Town, Lahore",3224841474
305,Lahore,"Aqsa Lab, Shahdara, Lahore","Aqsa Lab, Chowk Shahdara More, Lahore",0333-4742302
306,Lahore,"Arshad Ultrasound Clinic, Model Town, Lahore",Office No 22 Saleem Arcade Block-Q Model Town Lahore,0300-4696803
307,Lahore,Asad Clinical Lab,"152-A, Faisal Town, Lahore",0321-4237621
308,Lahore,"Asia Diagnostic Centre, Township, Lahore","House No 14, 1C-2, College Road, Quaid e Azam Town, Township, Lahore",0300-7068888
309,Lahore,"Asia Diagonostic Lab, Township, Lahore","Building No 520, Block No 15, Sector B1, Quaid e Azam Town, College Road, Township, Lahore",ÿ
310,Lahore,Azam Lab,"Shop No. 3 & 2, Shalamar Arcade (Near Shalamar Hospitals Meezan Bank) Shalamar Link Road, Lahore",0321-4463451
311,Lahore,Azra Ijaz Diagnostic Laboratory,96/B Main Faroz Pur Road Ichrah Lahore Near Qasori Falooda,3009459176
312,Lahore,Best One Lab,"401 E-II/A Johar Town, Lahore",ÿ
313,Lahore,"Bestway Medical Clinic, Main Boulevard Johar Town, Lahore","77-G-2 Phase-II Main Boulevar Johar Town, Lahore",0300-8446183
314,Lahore,Bio Medical Laboratory,"23 Gulshan Block Allama Iqbal Town, Lahore",0302-4888158
315,Lahore,Biocare Laboratories & Research Center,"Shop & LG 5&6 NN Medical Complex Near Gate No.03 LGH Main Ferozepur Road, Lahore",3335777103
316,Lahore,Biogen Medical Laboratory,"407-A-1, Haider Road Township, Lahore",0333-6261968
317,Lahore,Biotech Lahore Lab,Flat#761- Q BLOCK MODEL TOWN LAHORE,3099948830
318,Lahore,Biotech Lahore Lab & Research Center,"188-A, Faisal Town, Opposite Emergency Gate Jinnah Hospital, Lahore",ÿ
319,Lahore,Biotest Laboratory,"Upper Floor, House No.681, Shadman Colony, Lahore",3224920171
320,Lahore,"Bokhari Lab, Faisal Town, Lahore","538-A Shaukat Ali Road Faisal Town, Lahore",0307-7860444
321,Lahore,C Lab Diagnostic,Shadbagh Tokey Wala Chowk Near Subhan Shadi Hall,3344276660
322,Lahore,"Canal View Diagnostic Centre, Old Muslim Town, Lahore","4 A/1-Noon Avenue, Old Muslim Town Lahore",ÿ
323,Lahore,"Cantt Lab Sadar Bazar, Lahore","9/B Lahore Road Sadar Bazar, Lahore",0321-8468271
324,Lahore,Capital Lab,"26A, HBFC Villas, Faisal Town, Lahore",0300-9490764
325,Lahore,"Capital Lab, Jail Road, Lahore","126 Halitat Flat Shadman II Jail Road, Lahore",0300-9490764
326,Lahore,Care Clinical Lab,"Bank Stop, Ashiyana Road, Iqbal Chowk Near Kashmar Bakers, Lahore",0333-8012374
327,Lahore,"Care Diagnostics Lab,","Health City Hospital 92-Block, H-1 Wapda Town Lahore",3334473921
328,Lahore,CDC Laboratories,"14-1-C1 Collage Road, Town Ship Lahore",0321-9415231
329,Lahore,CDC Laboratory,"Opposite THQ Hospital, Raiwind, Lahore",3034396934
330,Lahore,Central Lab,"519-A, Faisal Town, Lahore",3364246075
331,Lahore,"Chughtai Pathology Lab, DHA, Lahore","Chughtai Patholgy Lab,49-G -Block, DHA Phase-I, Lahore",0333-4983696
332,Lahore,Chughtai Stat Lab,"Allama Iqbal International Airpot, Lahore",3004354411
333,Lahore,Chughtai Stat Lab.,"Akram Medical Complex, Ayesha Siddiqua Road, Main Gulberg, Lahore",0340-4504148
334,Lahore,"Chughtais Plus Lahore Laboratory, Johar Town, Lahore","478-Meer Street, Johar Town, Lahore",3224295129
335,Lahore,Citi Lab & Research Center,"525-A Maulana Shoukat Ali Road, Near Jinnah Hospital, Faisal Town, Lahore",ÿ
336,Lahore,"City Lahore Lab, Samanabad, Lahore",297-F Block Rehman Pura Tankywala Chowk Link Wahadat Road Lahore,ÿ
337,Lahore,Clin Lab,"517-A, Faisal Town, Lahore",0300-8476503
338,Lahore,Clinlab PCR,"531-A Faisal Town, Lahore",0322-0000704
339,Lahore,Community Health Solution (CHS Lab),"355-A 1st Floor Mazzab Bahbrah Ferozpur Road, Lahore",ÿ
340,Lahore,Community Welfare Lab,"9-10, 1st Floor Marhaba Tower, Karim Block, Allama Iqbal Town, Lahore",3214285189
341,Lahore,Concept Laboratories,"Basement Shahnaz Medical Centre, Shalimar Link Road, Lahore",ÿ
342,Lahore,"CORC Lab, DHA Lahore","200-Y, DHA Lahore",0345-4211113
343,Lahore,Cosmetique Lab,"190-DD Commercial Area Next to Jamia Mosque Phase No 4, DHA, Lahore",0300-4023114
344,Lahore,"Decent Hormone Lab, Ferozepur Road, Lahore","OPD Gate No 3 Lahore General Hospital Ferozepur Road, Lahore",0322-4080664
345,Lahore,Diagnostic Zone Lab,"16-Awasia Society Near Ghazi Chowk, College Road, Lahore",0312-4949303
346,Lahore,"Doctor Medical Laboratory, Lahore",4-A Akbar Road Shalamar Lahore,0333-4216507
347,Lahore,Doctors Diagnostic Laboratory Centre,"21-G, Block-G-1, Johar Town, Lahore",ÿ
348,Lahore,Doctors Lab,"856/N Ponch Road Samanabad, Lahore",3347992764
349,Lahore,Doctor's Lab,"73 Jail Road, Taj Arcade, Opposite Services Hospital, Lahore",0321-5088023
350,Lahore,"Doctors Lahore Laboratory, Rajgarh, Lahore","Near Al Ghazali School, Ex-Firdous Cinema, Rajgarh, Lahore",0307-4486193
351,Lahore,Dr. Essa Laboratory & Diagnostic Centre,"46-B PECO Road, Kot Lakhpat, Lahore",ÿ
352,Lahore,Dr. Essa Laboratory And Diagnostic Centre,"91-T, CCA, Phase-II, Lalik Jan Chowk, DHA, Lahore",3004722595
353,Lahore,"Dr. Zaheer Diagnostic Centre, 37-M, Model Town, Lahore","37-M, Model Town Ext Civic Centre, Lahore",0334-8633443
354,Lahore,"Eman Diagnostic Lab,Faisal Bank, Lahore","Near HBL Chowk Mughalpura, Lahore",0332-4392886
355,Lahore,Eon Diagnostics,"3M, Model Town Externtion, Lahore",ÿ
356,Lahore,Evergreen Laboratories,"Canal Road Canal Bank Housing Scheme, Lahore",ÿ
357,Lahore,"Excel Lab, Thokar, Lahore","20-West Wood Colony, Canal Road, Thokar, Lahore",0300-8555023
358,Lahore,Excel Labs,"Plaza No.301, Y-Block, Phase-III, Near Haji Restaurant DHA, Lahore",ÿ
359,Lahore,"Excel Labs, Model Town, Lahore","1-M, Civic Center, Model Town, Lahore",0300-0800321
360,Lahore,Fatima Clinical Laboratory,"Moula Bakhsh Chowk Bilal Gunj, Lahore",ÿ
361,Lahore,Fatima Memorial Hospital Lab,"Khair Un Nisa Hospital 17-C, Civic Center C-Block Faisal Town, Lahore,",3214472873
362,Lahore,Fatima Mukhtar Laboratory,"39-Main Peco Road Near Caltex Petrol Pump, Pindi Stop, Lahore",0302-5644440
363,Lahore,"Fazal Medical Diagnostic Centre, Township, Lahore",Fazal Medical Diagnostic Centre 542 A2 Block 2 Haider Road Township Lahore,0301-2629047
364,Lahore,Fortis Diagnostic Lab,"Hameedah Memorial Hospital Fortis Lab D-Block Valancia Town, Lahore",0345-4515418
365,Lahore,Galaxy Diagnostic Laboratory,"21-L, Gulberg-III, Main Ferozepur Road, Lahore",3334168904
366,Lahore,Galaxy Diagnostic Stat Laboratory,"Noor Hospital, 18-KM, Ferozepur Road Opposite Descon Head Quarter, Shadab Garden, Lahore",3334168904
367,Lahore,Genix Lab & Diagnostic Centre,"Near Kot Khawaja Saeed Hospital Opposite AK Pharma China Scheme, Lahore",3234111066
368,Lahore,Genome Centre Lab,"Allama Iqbal International Airpot, Lahore",3218761976
369,Lahore,"Genome Centre Lab, Shaukat Khanum Road, Lahore","Al Sudais Plaza, CL-25 Block-B, Abdalian Corporation Housing Society, Shaukat Khanum Road, Johar Town, Lahore",ÿ
370,Lahore,G-Lab,"Main Kala Khatai Road, Railway Crossing No. 9, Shahdara, Lahore",0331-7953310
371,Lahore,"Global Diagnostics Labortory, Main Jail Road, Lahore","97-A, Main Jail Road, Lahore",3028459678
372,Lahore,"Green Care Lab,(3PM To 10PM) Jail Road, Lahore","Plot No.7,Basement,Sarwar Road, Lahore",0320-4410458
373,Lahore,Green Diagnostic Centre,"24-A, Commercial Sector-C, Near KFC, Bahria Town, Lahore",3214574743
374,Lahore,Green Life Medical Lab,"Nishtar Colony, Lahore",0305-8592781
375,Lahore,Halcyon Laboratories,"1-E, Amin Chamber, Main Boulevard Main Market, Gulberg-II, Lahore",3044033000
376,Lahore,Hamd Lab & Research Centre,"200-C, BOR Road near Bhulla Chowk Johar Town, Lahore",ÿ
377,Lahore,Hamdard Lab & Diagnostic Centre,"27-B Architect Society, Near Shoukat Khanum Hospital, Lahore",0300-4884155
378,Lahore,Hameed Laboratories,"Near Seek Schook, Opposite Police Station, Mustafabad( Dharampura), Lahore",0321-4142182
379,Lahore,Hasan Laboratory,"Opposite gate No.3, General Hospital, Main Ferozepur Road, Lahore",3125822859
380,Lahore,Health One Diagnostic Lab,"391/E, Main Boulevard, Johar Town, Lahore",3099948830
381,Lahore,Health Zone Lab,"54-Naseerabad Stop Near Ferozpur Road, Lahore",0300-9465029
382,Lahore,Healthy Bridge Laboratory,"194/E, Ghazi Road Near Bhatta Chowk, Lahore",3219461685
383,Lahore,Hepatits Reference Cam Public Health Lab And Research Center,"Lab And Survellance Complex, 3rd Floor,1-Birdwood Road, Lahore",3214099787
384,Lahore,"Hi Vision Lab, Faisal Town, Lahore","532/A, Opp Jinnah Hospital, Faisal Town, Lahore",0300-4237012
385,Lahore,Histopathology Associates Lab,"814-C, Faisal Town, Near Akbar Chowk, Lahore",ÿ
386,Lahore,"Hormone Lab, Lahore.","561-A Faisal Town Near Jinnah Hospital, Lahore",0333-4871017
387,Lahore,"Hoss Diagnostics, PIA Society, Lahore","39-B-1, 1st Floor, Main Boulevard, PIA Society, Lahore",0332-4338808
388,Lahore,"Hum Labs, Faisal Town, Lahore","Expo one Plaza, 305/36-Block H 3, M A Johar Town, Lahore",ÿ
389,Lahore,"Human Care Laboratories, Allama Iqbal Town, Lahore","261 Huma Block Allama Iqbal Town, Lahore",0321-4716414
390,Lahore,Huzafa Laboratory,"Mohallah Toheedabad Main Shakar Gardian Bazar, Ravi Road, Lahore",0316-6688997
391,Lahore,"Hygenic Laboratory, 247- 4-DII, Green Town, Lahore","247- 4-DII, Green Town, Nishtar Town, Lahore",0302-4576694
392,Lahore,Ibn-e-Sina Clinical Lab,"259-B, GECHS Phase 3-B Link Road, Lahore",0304-8162004
393,Lahore,"Ibrahim Lab, Main Market Gulberg, Lahore","22-E Main Market Gulberg, Lahore",0300-8455964
394,Lahore,Ideal Laboratory,"Shop No 131 Shah The Khoee Dhanna Singh, Lahore",ÿ
395,Lahore,I-Karim Lab and Diagnostic Center,"21-A Block Gulshan e Ravi, Lahore",0333-4747510
396,Lahore,Indus Clinical Laboratories,"99A Shadman-1, Lahore",0320-6427091
397,Lahore,Indus Clinical Laboratories (Satellite Lab) Ammar Medical Complex,"8-Jail Road, Main Gulberg, Lahore",0333-4284991
398,Lahore,Indus Clinical Laboratories Latif Hospital Satellite Lab,"408-409, E-Block, Johar Town, Lahore",0300-8427616
399,Lahore,Infinity Diagnostic Center,"81-R/1 Johar Town, Lahore",0321-1110516
400,Lahore,Infinity Healthcare Lab,"71-Jail Road, Lahore",3004330196
401,Lahore,Inmol Lab & Imaging Centre,"Shop No.07, 156-A, Faisal Town, Opposite Jinnah Hospital, Lahore",3332632384
402,Lahore,Innova Lab,"54-55 Khayaban-e-Firdousi Block A Phase 1 Johar Town, Lahore",0321-8634557
403,Lahore,Innova Lab & Diagnostics Centre,"Central Park Teaching Hospital, 89-HH+M-53, 740, Central Park Housing Scheme, Kasur Road, Lahore",3370412248
404,Lahore,"Innova labs And Diagnostics,",882-C Faisal Town Lahore,0
405,Lahore,Iqraa Lab,"8-A, First Floor Moulana Shaukat Ali Road, Johar Town, Lahore",ÿ
406,Lahore,Islamabad Diagnostic Center,"Ever Care Hospital D-Block, Nespak Housing Soceity, Lahore",0321-5111169
407,Lahore,Islamabad Diagnostic Center (Pvt) Ltd,"Plot No 4-A/1 Shadman II, Jail Road, Lahore",0309-8888024
408,Lahore,Islamabad Diagnostic Center (Pvt) Ltd,"Rasheed Akhtar Hospital, Main Barki Road, Gate 2 Paragon City, Lahore",3244167153
409,Lahore,Islamabad Diagnostic Centre,"Allama Iqbal International Airpot, Lahore",ÿ
410,Lahore,K S Lab,15.A Street No.15 Cavalry Ground EXT Lahore,0300-4303936
411,Lahore,Khan Clinical Lab,Fateh Shair Road Banj Gul Begum Mozang Lahore,3004200225
412,Lahore,Khan Lab & Diagnostic Center,"1st Floor, 138-Shadman-II, Jail Road, Lahore",3206025373
413,Lahore,Lab Corp Diagnostic Centre,"746-C, Qazi M. Issa Road, Faisal Town, Lahore",3224143730
414,Lahore,Lab First Diagnostic & Clinical Lab,"Hajira Medical Complex,2-B-I PGECHS Collage Road,Lahore",0323-4223325
415,Lahore,Lab Genetix,"G-3, Al Hafeez Business Centre, 89-B/III, Gulburg III, Lahore",0300-8500577
416,Lahore,Lab one Life line Hospital,"Life Line Hospital, 462/63 G-3 Near Khokhar Chowk, M.A Johar Town, Lahore",0300-8456591
417,Lahore,Labaik Pathology Laboratory,"180, Allama Iqbal Road, Mustafabad, Dharampura, Lahore",3236318331
418,Lahore,"Labex Diagnostic Lab, Kot Lakhpat, Lahore","Opp Qabrastan Akber Shaheed Road Kot Lakhpat, Lahore",ÿ
419,Lahore,Laboratory Company of Pakistan (LabPk),"2-A, G-Block, Johar Town, Lahore",0300-6116767
420,Lahore,Labtech,"943-B, Molana Shoukat Ali Road, Lahore",0323-5550222
421,Lahore,Lahore Diagnostic Center,"8-A Johar Town, Lahore",0300-8464049
422,Lahore,Lahore Diagnostic Center,"117-G Street No 1 Block G, Johar Town, Lahore",ÿ
423,Lahore,Lahore Diagnostic Centre,"1st Floor 87-A2 Block Johar Town, Lahore",0300-6474535
424,Lahore,"Lahore Diagnostic Centre, Iqbal Town Lahore",299- Jehanzaib Block Iqbal Town Lahore,0323-8834305
425,Lahore,Lahore Diagnostic Laboratory,"Dilshad Street Mint Stop, Shalimar G T Road, Lahore",0322-4740244
426,Lahore,"Lahore Health Care Lab, Faisal Town, Lahore","524- Molana Shaukat Ali Road, Faisal Town, Lahore",ÿ
427,Lahore,"Lahore HI- Care Diagnostic, Lahore","Shop no 3 opp OPD Gate, Jinnah Hospital, Lahore",0322-4035157
428,Lahore,"Lahore Hi Tech Diagnostic Centre, Raiwind Road, Lahore","House No.16-B, Main Sher Shah Colony, Raiwind Road, Lahore",0320-4139710
429,Lahore,Lahore Lab,462/A Opp-FMH SHADMAN LAHORE,3324468199
430,Lahore,"Lahore Lab Care, Wahdat Road, Lahore","Shop No.12-A Mian Shopping Centre 9-A Wahdat Road, Lahore",0300-4424974
431,Lahore,"Lahore Medical Lab & Diagnostic Center,","87 lower Ground Block A2, Johar Town Lahore",3214208056
432,Lahore,Lahore Medical Laboratories & Research Center,"New Jail Road, Near Jamia Masjid, Madina Ahl-e-Hadees, Chungi Amer Sidhu, Lahore",ÿ
433,Lahore,Lahore PCR Lab,"58 Umar Din Road Main Wasan Pura Near Cakes & Bakes Shad Bagh, Lahore",ÿ
434,Lahore,"Life Care Diagnostic Lab, Nishtar Colony, Lahore","520 Bilal Block Nishtar Colony, Lahore",0303-4392572
435,Lahore,Life Line Lab & Imaging Centre,"150/151 HBFC Faisal Town, Opposite Jinnah Hospital, Lahore",0324-3000039
436,Lahore,"Life Line Laboratories & Diagnostic Centre, Lahore",12-Shadman II Opp P.I.C Hospital Jail Road Lahore,ÿ
437,Lahore,Life Tech Diagnostic Center,"92 Ravi Road Timber Market, Lahore",ÿ
438,Lahore,Life Zone Lab,"LDA-215, Mohalla Data Nagar, Badami Bagh, Lahore",3349823455
439,Lahore,Livartes Pathology Lab,"575-A, Faisal Town, Near Jinnah Hospital, Lahore",ÿ
440,Lahore,"Madina Lab, Hospital Road Manga Mandi, Lahore","Hospital Road Manga Mandi, Lahore",0300-4264271
441,Lahore,Mansoor Diagnostic Lab,"Safan Wala Chowk, Mozzang Road, Lahore",ÿ
442,Lahore,Maryam Diagnostic Centre,"7-B Shadman-II, Behind City 42 Near Punjab Institute Of Cardialogy Hospital, Data Ganj Buksh Town, Lahore",3349823455
443,Lahore,MED ONE LAB,24 Kamran Block Iqbal Town Lahore,3225013120
444,Lahore,MEDCARE DIAGNOSTICS,"27/2 BLOCK A,VALANCIA TOWN LAHORE",3008634819
445,Lahore,"Medi Cure Laboratories,","Street No.06, House No.1-B, Mohallah Hajipura, Salamat Pura, lahore.",3444251171
446,Lahore,Medi Tech Diagnostic Laboratory,"Main Canal Road, Basement Bank Al Habib, Lahore",0331-4192564
447,Lahore,Medi X-Ray Centre,"154, Allama Iqbal Road, Mustafa Abad, Town Aziz Bhatti, Lahore",0300-4368965
448,Lahore,"Medical Diagnostic Laboratory, Model Town, Lahore","20-L Model Town, Lahore",0300-2127588
449,Lahore,"Medical Screening Facility Punjab Food Authority, Wahdat Road, Lahore","84-C, New Muslim Town, Wahdat Road, Lahore",ÿ
450,Lahore,Medics Lahore Labs,"Bhatta Chowk Bedian Road, Near Amber Hospital Lahore Cantt.",ÿ
451,Lahore,"Meditest Lab, Jail Road, Lahore","73 Jail Road Taj Arcade, Lahore",0333-4981981
452,Lahore,"Medix Lab, Islampura, Lahore","1-Chohan Road, Akhri Bus Stop, Islampura, Lahore",0322-8612126
453,Lahore,Meezan Laboratory & Diagnostic Centre,"Shop No. 1, Mughal Market, General Hospital, Lahore",0333-4473921
454,Lahore,Meezan Medical Laboratory,"Main Ghoray Shah Chowk Near Liaqat Book Depo, Lahore",ÿ
455,Lahore,Mega Test Lab,"516-A, Faisal Town,Opposite Jinnah Hospital, Lahore",0323-4346018
456,Lahore,Metro City Lab,"41 Peco Road,Near Pindi Stop, Lahore",0347-1000070
